Sigle,Courriel
MEJ,administration@mej.fr
MFPF,mfpf@planning-familial.org
MHF,rg;webmaster@maxhavela
MRJC,mrjc@mrjc.org
NPNS,admin@npns.fr
OCCE,federation@occe.coop
OFAC,ofac.france@gmail.com
Of-FEEE,lereverend@f3e.org
PRINCES,mail@petitsprinces.com
RACF,infos@rac-f.org
RECIT,recit@recit.net
SF-FASG,info@scoutisme-francais.fr
SLAM,slamproduction@orange.fr
SNSM,contact@snsm.net
T89,t89@wanadoo.fr
TDFIL,theatre-du-fil@wanadoo.fr
UAOEM,outilenmain@wanadoo.fr
UCJG,marc.lehning@orange.fr
UCPA,mgeneve@ucpa.asso.fr
UCRIF,info@ethic-etapes.fr
UEJF,uejf@uejf.org
UFAL,ufalsiege@ufal.org
UFCV,yann.genee@ufcv.asso.fr
UNASEA,contact@unasea.org
UNCBPT,bureau.uncbpt@free.fr
UNCPIE,contact@uncpie.org
UNEF,contact@unef.fr
UNHAJ,unhaj@unhaj.org
UNICEF,unicef@unicef.asso.fr
UNIJ,contact@unij.fr
UNISCITE,scazade@uniscite.fr
